85.000	83.000	86.000	87.000	78.995
78.995	82.995	86.995	85.995	89.982
89.982	90.982	88.982	81.982	74.959
74.959	76.959	75.959	69.959	74.927
74.927	79.927	78.927	74.927	78.886
78.886	82.886	81.886	79.886	86.836
86.836	87.836	89.836	88.836	89.776
89.776	87.776	92.776	88.776	77.708
77.708	80.708	83.708	78.708	89.631
89.631	91.631	95.631	97.631	73.544
73.544	73.544	76.544	68.544	80.449
80.449	78.449	82.449	79.449	84.344
84.344	83.344	88.344	88.344	83.231
83.231	84.231	82.231	84.231	81.109
81.109	82.109	87.109	80.109	69.978
69.978	70.978	73.978	68.978	71.838
71.838	74.838	78.838	77.838	86.689
86.689	85.689	86.689	84.689	87.532
87.532	89.532	94.532	87.532	75.366
75.366	73.366	78.366	79.366	79.191
79.191	81.191	83.191	76.191	72.007
72.007	72.007	77.007	75.007	78.816
78.816	79.816	84.816	84.816	73.615
73.615	74.615	78.615	80.615	69.406
69.406	72.406	71.406	69.406	82.189
82.189	83.189	84.189	77.189	72.964
72.964	73.964	71.964	67.964	75.730
75.730	74.730	78.730	74.730	82.488
82.488	87.488	88.488	87.488	70.239
70.239	68.239	69.239	70.239	72.981
72.981	74.981	74.981	75.981	84.715
84.715	85.715	85.715	83.715	85.441
85.441	84.441	88.441	81.441	85.160
85.160	83.160	87.160	86.160	67.871
67.871	72.871	75.871	71.871	66.575
66.575	71.575	75.575	71.575	84.271
84.271	88.271	88.271	80.271	78.959
78.959	76.959	81.959	75.959	64.640
64.640	67.640	66.640	64.640	72.314
72.314	77.314	80.314	80.314	75.981
75.981	79.981	82.981	75.981	69.641
69.641	67.641	67.641	61.641	77.294
77.294	76.294	75.294	73.294	81.941
81.941	84.941	83.941	81.941	78.580
78.580	76.580	75.580	76.580	63.213
63.213	61.213	64.213	59.213	72.840
72.840	71.840	73.840	70.840	69.460
69.460	70.460	71.460	68.460	63.074
63.074	64.074	68.074	63.074	77.682
77.682	78.682	76.682	73.682	68.284
68.284	67.284	71.284	66.284	70.880
70.880	72.880	73.880	67.880	59.470
59.470	64.470	65.470	60.470	67.054
67.054	71.054	71.054	71.054	59.634
59.634	62.634	66.634	66.634	58.207
58.207	58.207	57.207	57.207	68.776
68.776	70.776	74.776	67.776	72.339
72.339	74.339	74.339	76.339	58.898
58.898	59.898	63.898	61.898	65.451
65.451	66.451	70.451	68.451	62.000
62.000	67.000	66.000	64.000	68.544
68.544	68.544	69.544	66.544	57.084
57.084	62.084	66.084	58.084	55.620
55.620	58.620	56.620	57.620	56.151
56.151	54.151	56.151	57.151	55.679
55.679	58.679	63.679	60.679	65.202
65.202	69.202	73.202	65.202	65.722
65.722	64.722	68.722	60.722	70.238
70.238	73.238	74.238	68.238	55.751
55.751	54.751	59.751	57.751	70.261
70.261	75.261	80.261	73.261	65.767
65.767	70.767	68.767	65.767	63.271
63.271	67.271	67.271	59.271	50.771
50.771	53.771	55.771	49.771	49.269
49.269	52.269	53.269	52.269	67.765
67.765	66.765	68.765	61.765	60.258
60.258	59.258	64.258	60.258	51.749
51.749	56.749	60.749	57.749	46.237
46.237	44.237	47.237	43.237	52.724
52.724	51.724	51.724	51.724	48.209
48.209	48.209	51.209	50.209	61.693
61.693	66.693	70.693	71.693	46.175
46.175	46.175	48.175	46.175	62.656
62.656	65.656	66.656	62.656	60.136
60.136	65.136	67.136	65.136	49.615
49.615	51.615	52.615	44.615	47.093
47.093	47.093	46.093	38.093	44.570
44.570	48.570	50.570	50.570	52.047
52.047	52.047	54.047	51.047	59.524
59.524	62.524	61.524	58.524	53.000
53.000	55.000	53.000	49.000	54.476
54.476	53.476	52.476	45.476	46.953
46.953	44.953	42.953	44.953	46.430
46.430	47.430	49.430	50.430	49.907
49.907	49.907	53.907	47.907	52.385
52.385	52.385	52.385	47.385	54.864
54.864	55.864	55.864	51.864	37.344
37.344	36.344	41.344	34.344	41.825
41.825	39.825	39.825	34.825	51.307
51.307	54.307	56.307	48.307	46.791
46.791	47.791	52.791	52.791	44.276
44.276	48.276	47.276	42.276	53.763
53.763	58.763	58.763	58.763	48.251
48.251	53.251	58.251	55.251	43.742
43.742	47.742	46.742	40.742	38.235
